"Team","Conference","ID","Season"
"Texas Tech","Big 12",527420,"2021-22"
"The Citadel","SoCon",527539,"2021-22"
"Toledo","MAC",527425,"2021-22"
"Towson","CAA",527426,"2021-22"
"Troy","Sun Belt",527427,"2021-22"
"Tulane","AAC",527428,"2021-22"
"Tulsa","AAC",527429,"2021-22"
"UAB","C-USA",527491,"2021-22"
"UC Davis","Big West",527528,"2021-22"
"UC Irvine","Big West",527529,"2021-22"
"UC Riverside","Big West",527531,"2021-22"
"UC San Diego",NA,527739,"2021-22"
"UC Santa Barbara","Big West",527526,"2021-22"
"UCF","AAC",527535,"2021-22"
"UCLA","Pac-12",527530,"2021-22"
"UConn","AAC",527547,"2021-22"
"Illinois Chicago","Horizon",527601,"2021-22"
"UMass Lowell","America East",527626,"2021-22"
"UMBC","America East",527635,"2021-22"
"UMES","MEAC",527637,"2021-22"
"UNC Asheville","Big South",527659,"2021-22"
"UNC Greensboro","SoCon",527662,"2021-22"
"UNC Wilmington","CAA",527663,"2021-22"
"UNI","MVC",527687,"2021-22"
"UNLV","MWC",527666,"2021-22"
"USC Upstate","Big South",527478,"2021-22"
"UT Arlington","Sun Belt",527421,"2021-22"
"Tennessee Martin","OVC",527416,"2021-22"
"Utah","Pac-12",527434,"2021-22"
"Utah St.","MWC",527433,"2021-22"
"Utah Valley","WAC",527484,"2021-22"
"UTEP","C-USA",527423,"2021-22"
"UTRGV","WAC",527702,"2021-22"
"UTSA","C-USA",527424,"2021-22"
"Valparaiso","MVC",527435,"2021-22"
"Vanderbilt","SEC",527436,"2021-22"
"VCU","Atlantic 10",527439,"2021-22"
"Vermont","America East",527437,"2021-22"
"Villanova","Big East",527438,"2021-22"
"Virginia","ACC",527442,"2021-22"
"Virginia Tech","ACC",527441,"2021-22"
"VMI","SoCon",527440,"2021-22"
"Wagner","NEC",527443,"2021-22"
"Wake Forest","ACC",527444,"2021-22"
"Washington","Pac-12",527446,"2021-22"
"Washington St.","Pac-12",527445,"2021-22"
"Weber St.","Big Sky",527447,"2021-22"
"West Virginia","Big 12",527448,"2021-22"
"Western Carolina","SoCon",527449,"2021-22"
"Western Illinois","Summit League",527450,"2021-22"
"Western Kentucky","C-USA",527451,"2021-22"
"Western Michigan","MAC",527452,"2021-22"
"Wichita St.","AAC",527453,"2021-22"
"William & Mary","CAA",527454,"2021-22"
"Winthrop","Big South",527455,"2021-22"
"Wisconsin","Big Ten",527457,"2021-22"
"Wofford","SoCon",527477,"2021-22"
"Wright St.","Horizon",527459,"2021-22"
"Wyoming","MWC",527460,"2021-22"
"Xavier","Big East",527461,"2021-22"
"Yale","Ivy League",527462,"2021-22"
"Youngstown St.","Horizon",527463,"2021-22"
