RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
47,Sr,6-6,Daniel Utomi (20),USC,Akron,60.9,1.3,1.5,101.9,16.7,51.8,55.1,3.3,13.3,6.6,18.8,0.9,0.6,31,39-73,0.534,9.5,43-127,0.339,2020
48,Sr,6-3,Jacob Young (22),Oregon,Rutgers,75.8,2.4,1,98.2,24.4,45.7,48.7,2.1,8.6,21.5,17.3,0.2,2.6,28.1,132-276,0.478,5.5,26-98,0.265,2022
49,Sr,6-1,David Jenkins Jr. (22),Utah,UNLV,47.4,1.9,0.9,108.7,20.7,52.3,57.8,0.2,9.7,8.1,14.5,0.4,0.8,40.1,21-58,0.362,13.4,53-134,0.396,2022
50,So,6-4,Rollie Worster (22),Utah,Utah St.,71.2,1.2,0.8,98.3,17,45.2,48.8,1.4,16.1,21.4,19.5,1.2,1.8,21.1,67-154,0.435,4.3,21-64,0.328,2022
51,Sr,6-7,Emmitt Matthews Jr. (22),Washington,West Virginia,76.6,2.4,0.8,106.4,18.2,50.3,54.4,5.1,11.6,4.1,14.2,1.5,1.1,34.3,84-167,0.503,6.8,40-119,0.336,2022
52,Sr,6-3,Daejon Davis (22),Washington,Stanford,57.4,0.4,0.7,91.5,16.7,42.4,45.8,1.9,9.6,18.7,21.5,1.8,3.9,26,36-90,0.4,6.7,26-87,0.299,2022
53,Sr,6-11,Marcus Lee (18),California,Kentucky,70.2,1.9,0.7,102.5,22.5,57,58.2,11.3,18.6,11.4,24.2,6.8,1.3,37.6,150-263,0.57,0,0-0,0,2018
54,Sr,5-10,Justin Coleman (19),Arizona,Samford,76.4,1.4,0.5,100,18.4,46.6,51.9,0.8,9.3,23.4,22,0,1.7,36.3,49-123,0.398,6.6,40-111,0.36,2019
55,So,6-2,Sedrick Barefield (17),Utah,SMU,46.9,1.6,0.3,101.9,20.6,51.5,55.1,1.8,7.2,13.9,21.4,0,1.9,33.9,37-84,0.44,8.4,33-84,0.393,2017
56,Sr,6-8,Drick Bernstine (18),Washington St.,North Dakota,64.8,0.9,-0.1,96.4,18.2,51.1,51.6,7.8,20.7,18,26.6,2.6,2.5,19.7,91-178,0.511,0,0-0,0,2018
57,Sr,6-5,Ryan Betley (21),California,Penn,68.6,0.8,-0.1,90.7,18.8,45.5,48.4,1.4,13.6,9.6,17.2,1,0.6,17.6,27-68,0.397,12.1,49-153,0.32,2021
58,Jr,6-5,Namon Wright (18),Colorado,Missouri,53.1,1.2,-0.2,96.7,23.1,49.6,53.4,3.2,13.5,10.4,20.6,1.3,1.3,31.6,74-150,0.493,7.3,29-87,0.333,2018
59,Sr,6-3,Kareem South (20),California,Texas A&M Corpus Chris,74.2,1.1,-0.2,94.6,18.2,41.7,46.3,2.7,6.6,7.2,11.5,0.4,1.5,22.4,60-153,0.392,7.9,37-124,0.298,2020
60,Sr,6-6,Both Gach (22),Utah,Minnesota,56.7,1.4,-0.2,95.8,22.3,48.3,53.7,1.6,10.6,18.8,24.1,0.7,1.8,36.7,58-112,0.518,7.9,28-95,0.295,2022
61,Jr,6-10,Maurice Calloo (21),Oregon St.,Oklahoma St.,40,0.8,-0.3,94.9,19.8,44.9,48.9,3.2,13.5,6.9,16.1,0.7,0.9,20.5,25-86,0.291,9.4,33-80,0.412,2021
62,Jr,6-3,Isaac Bonton (20),Washington St.,Montana St.,71.1,1.8,-0.4,87.7,30.6,40,45.1,2.1,10.7,27.5,20.5,0.7,2,25.5,94-260,0.362,10,50-163,0.307,2020
63,Jr,6-3,Erik Stevenson (21),Washington,Wichita St.,66.3,1.2,-0.5,89.9,22.3,43.2,46,2.3,13.2,16.3,17.3,1,2.4,15.6,50-120,0.417,10.2,37-124,0.298,2021
64,So,6-7,Shaqquan Aaron (17),USC,Louisville,51.7,1.3,-0.5,103.5,19.5,47.2,51,4.8,12,9.9,14.5,0.8,1.1,32.3,54-122,0.443,8.4,37-110,0.336,2017
65,Jr,6-4,PJ Fuller (22),Washington,TCU,55.7,0.5,-1.2,89.9,19.5,48,51.8,1.2,8.6,9.6,24.7,1.4,2.8,32.7,46-97,0.474,8.1,33-102,0.324,2022
66,Sr,6-1,Makale Foreman (21),California,Stony Brook,51.3,1.1,-1.4,94,21.5,44,47.9,1.5,5.7,15,15.2,0,1.3,18.3,21-58,0.362,14,42-133,0.316,2021
67,Jr,6-3,Luther Muhammad (22),Arizona St.,Ohio St.,45.8,-0.1,-1.5,80.7,19.3,35.5,39,1.1,11.7,11.5,13.2,0.2,2.7,15.6,42-103,0.408,8.5,16-83,0.193,2022
68,Jr,6-0,Paris Austin (19),California,Boise St.,80.2,1.8,-2.2,97.7,22,45.6,51,1,10.5,26.4,19.4,0.6,2.5,44.3,111-241,0.461,1.9,9-32,0.281,2019
69,Sr,6-2,Amauri Hardy (21),Oregon,UNLV,48.8,0.3,-2.9,92.6,14.7,44.5,46.1,0.2,7.6,17.9,23.4,0.6,0.5,15.6,38-80,0.475,3.1,7-29,0.241,2021
70,Jr,6-5,Dexter Akanno (22),Oregon St.,Marquette,44.9,0,-4.4,86.1,16.4,44.6,46.9,1.9,11.3,7.9,20.9,0.2,1,18.7,32-73,0.438,6.9,20-66,0.303,2022
