
RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
49,Sr,5-11,Jarrod West (22),Louisville,Marshall,69.9,1.2,1.3,103.9,13.8,47.4,50.8,1.1,9.0,18.8,18.1,0.0,2.9,21.7,32-71,.451,6.8,34-104,.327,2022
50,Sr,6-6,Naz Bohannon (22),Clemson,Youngstown St.,52.7,1.5,1.3,106.6,17.3,52.9,54.7,8.2,14.5,15.3,19.8,0.5,1.2,22.4,81-154,.526,0.2,1-2,.500,2022
51,Sr,6-1,David Nichols (19),Florida St.,Albany,40.8,1.0,1.3,96.9,21.5,47.5,50.2,1.7,9.2,18.7,21.4,0.4,2.2,24.6,42-89,.472,10.3,35-110,.318,2019
52,Jr,6-4,Armaan Franklin (22),Virginia,Indiana,73.7,1.9,1.2,97.6,22.7,46.6,49.7,1.4,10.4,10.6,12.2,1.1,2.3,21.0,87-178,.489,11.5,53-179,.296,2022
53,Sr,6-10,Khadim Sy (22),Wake Forest,Mississippi,46.5,0.9,1.1,102.9,16.3,59.2,58.9,8.3,18.2,4.8,22.3,3.2,1.4,26.8,65-104,.625,4.2,17-49,.347,2022
54,Sr,6-0,Lamarr Kimble (20),Louisville,Saint Joseph's,54.1,0.6,1.0,92.3,17.6,41.0,44.5,1.6,6.1,22.0,23.5,0.5,2.2,26.3,40-98,.408,5.1,16-58,.276,2020
55,Sr,6-2,Zach Johnson (19),Miami FL,Florida Gulf Coast,76.9,1.6,0.9,94.0,23.2,44.2,48.2,1.4,9.1,15.9,16.0,1.4,3.1,42.2,94-211,.445,6.7,33-114,.289,2019
56,Sr,6-0,Storm Murphy (22),Virginia Tech,Wofford,67.0,2.0,0.9,105.6,18.5,54.0,55.3,1.4,7.8,19.9,20.8,0.0,1.0,11.3,54-100,.540,9.6,53-147,.361,2022
57,So,6-5,Torin Dorn (17),North Carolina St.,Charlotte,59.5,1.9,0.9,107.0,18.6,55.3,57.5,4.4,16.5,6.5,16.6,0.5,0.9,34.2,90-162,.556,4.8,24-66,.364,2017
58,Jr,6-3,Makai Ashton-Langford (21),Boston College,Providence,49.4,2.1,0.8,101.3,21.6,46.7,50.2,1.9,13.0,25.0,16.3,0.3,3.6,38.5,39-71,.549,7.2,12-51,.235,2021
59,Sr,6-1,Rich Kelly (21),Boston College,Quinnipiac,50.4,2.4,0.8,104.7,22.4,54.5,57.1,1.1,6.8,19.5,19.1,0.3,2.1,18.8,29-57,.509,12.0,33-87,.379,2021
60,Jr,6-2,Ryan Murphy (20),Pittsburgh,Charlotte,55.6,1.0,0.8,95.9,17.8,45.5,48.1,2.1,7.1,10.6,16.6,0.5,2.1,13.4,39-97,.402,10.4,42-127,.331,2020
61,So,6-3,Ithiel Horton (21),Pittsburgh,Delaware,67.0,1.6,0.5,104.3,16.4,49.7,50.6,1.3,8.4,11.7,13.8,0.6,1.2,6.4,29-72,.403,11.4,43-116,.371,2021
62,Sr,6-0,Khwan Fore (19),Louisville,Richmond,47.5,-0.3,0.4,88.1,12.2,40.5,42.2,1.4,6.1,11.6,19.0,0.2,1.7,18.2,31-83,.373,3.4,12-38,.316,2019
63,So,6-7,Matt Cross (22),Louisville,Miami FL,41.6,0.6,0.2,93.9,18.7,46.9,49.7,7.2,15.7,4.7,19.5,2.9,1.9,24.7,31-58,.534,9.7,25-88,.284,2022
64,Sr,7-0,Nysier Brooks (21),Miami FL,Cincinnati,68.1,1.6,-0.0,104.5,16.1,51.7,54.9,9.9,14.3,5.7,18.2,4.0,1.4,53.8,75-140,.536,0.4,0-5,.000,2021
65,Jr,5-10,Bubba Parham (20),Georgia Tech,VMI,66.1,0.1,-0.0,92.5,12.5,43.9,48.1,1.8,8.5,11.9,22.6,0.0,1.8,20.4,27-62,.435,6.0,25-85,.294,2020
