RK,YEAR,HEIGHT,PLAYER,TEAM,OLD TEAM,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,2P%,3P/100,3P,3P%,YEAR
39,Sr,6-6,Au'Diese Toney (22),Arkansas,Pittsburgh,78.4,3.2,3.2,117.5,15,54,60.5,7.7,10.1,4.4,14.3,1.9,1,62.9,116-209,0.555,1.5,9-31,0.29,2022
40,So,6-6,Ronnie DeGray III (22),Missouri,Massachusetts,63,2.4,3.1,110.8,17.5,50.5,55.2,8.6,12.3,8.3,14.7,3.1,2,39.4,68-124,0.548,5.8,23-79,0.291,2022
41,Jr,6-3,Wendell Mitchell (19),Texas A&M,Baylor,69.5,2.4,3,99.8,23.5,47.8,52,3.3,11.5,15.5,20.4,0.5,3.4,24.3,73-164,0.445,10.4,55-161,0.342,2019
42,So,6-10,Tolu Smith (21),Mississippi St.,Western Kentucky,68.9,3.2,3,107.4,22,56.9,58,13,18.1,8,19.7,2.6,1.1,59.7,144-253,0.569,0,0-0,0,2021
43,Sr,6-0,Ronnie Johnson (17),Auburn,Houston,40.7,1.8,3,108.2,24.2,49.3,52.4,3.2,8.4,28.5,15.4,0,2.2,28.6,66-144,0.458,6.6,25-66,0.379,2017
44,Sr,6-6,P.J. Horne (21),Georgia,Virginia Tech,71,3,3,125,11.2,57.3,59.3,6.1,7.4,2.8,8.6,0.9,1.2,15.9,28-45,0.622,8.8,44-119,0.37,2021
45,So,6-0,K.D. Johnson (22),Auburn,Georgia,68.4,2.2,2.9,99.8,22.8,45.1,50.3,2.1,8.6,10.4,15.9,0.2,3.8,42.6,88-190,0.463,9.2,45-155,0.29,2022
46,Sr,6-3,Jimmy Whitt Jr. (20),Arkansas,SMU,91.2,2.9,2.9,105.3,20.1,48.5,52,4,12,12.4,10.3,1.3,2.1,33,181-371,0.488,0.1,0-2,0,2020
47,Sr,6-6,Jalen Tate (21),Arkansas,Northern Kentucky,73.4,2.4,2.9,104.4,20.3,52.9,55.9,4,9.9,22.2,23.3,1.5,1.9,32,105-196,0.536,4.3,26-76,0.342,2021
48,So,6-1,Shakeel Moore (22),Mississippi St.,North Carolina St.,69.2,1.6,2.8,99.8,18.2,47.8,50.5,2.1,11,15.4,19.4,1.3,3.4,18.9,63-130,0.485,8.8,44-140,0.314,2022
49,Jr,6-1,Tyree Appleby (21),Florida,Cleveland St.,70.8,2.6,2.8,101.7,23.2,48.5,56.2,1.1,11,21.2,24.9,0.5,3,52.2,54-118,0.458,6.7,29-83,0.349,2021
50,Sr,7-0,Nysier Brooks (22),Mississippi,Miami FL,72.1,2.7,2.8,110,18.2,58.1,60.3,10.9,19.2,5.6,19,4.8,1.9,37.4,129-218,0.592,0.3,0-4,0,2022
51,So,6-9,Jacob Toppin (21),Kentucky,Rhode Island,41.6,1.1,2.6,103.5,16,46.5,52.3,5.8,16.2,7.6,17,1.4,1.5,41.4,40-86,0.465,1.8,4-13,0.308,2021
52,Jr,6-2,Deandre Burnett (17),Mississippi,Miami FL,68.2,3.5,2.5,107,27,44.9,54.9,1.6,5.8,21.5,19.1,0.7,1.9,55.8,66-197,0.335,10.7,73-194,0.376,2017
53,Jr,5-9,Sahvir Wheeler (22),Kentucky,Georgia,68.3,3,2.5,104,22.4,47.1,50.3,2.3,7,35.5,25.1,0.2,2,21.7,104-220,0.473,3.2,16-52,0.308,2022
54,Sr,6-3,Myreon Jones (22),Florida,Penn St.,67.3,1.4,2.3,99.1,17,47.1,49.3,1.7,10.1,11.2,16.4,0.6,2.8,16.1,30-68,0.441,12.5,62-193,0.321,2022
55,Sr,6-6,Noah Baumann (22),Georgia,USC,53.3,2.2,2.1,115.1,15.5,58.3,61,1.1,17.1,8.9,11.9,1,0.7,21.5,20-41,0.488,12.1,59-145,0.407,2022
56,Sr,6-11,Braelen Bridges (22),Georgia,Illinois Chicago,72,3.5,2.1,111.3,21.8,63.4,66,7.5,15.3,15.4,22.5,1.5,0.7,48.8,161-254,0.634,0,0-0,0,2022
57,Sr,5-7,Chris Lykes (22),Arkansas,Miami FL,43,1.7,1.9,104.7,22.8,40.3,51.9,1.2,5.2,16.2,14.4,0.2,2.9,60.4,48-123,0.39,7.7,25-89,0.281,2022
58,Sr,6-4,James Reese V (22),South Carolina,North Texas,71,2.4,1.8,109.6,15.8,51.1,53.1,1.5,6.7,11.7,12.8,0.4,1.9,12.6,63-122,0.516,9,47-139,0.338,2022
59,Sr,6-2,Corban Collins (17),Alabama,Morehead St.,50.6,1.3,1.7,103,17.6,46.5,49.2,1.5,7.8,13.9,14.4,0,1.5,30.2,25-70,0.357,10.9,45-129,0.349,2017
60,Jr,6-1,Jarkel Joiner (21),Mississippi,Cal St. Bakersfield,76.3,2.2,1.7,101.2,21.1,42.9,49.1,1.2,8.9,11.2,14.4,0.6,2.1,32.9,92-207,0.444,6,23-88,0.261,2021
